Nitrogen,Potassium,Phosphorous,Fertilizer Name
37.0,0.0,0.0,Urea
12.0,0.0,36.0,DAP
7.0,9.0,30.0,Fourteen-Thirty Five-Fourteen
22.0,0.0,20.0,Twenty Eight-Twenty Eight
35.0,0.0,0.0,Urea
12.0,10.0,13.0,Seventeen-Seventeen-Seventeen
9.0,0.0,10.0,Twenty-Twenty
41.0,0.0,0.0,Urea
21.0,0.0,18.0,Twenty Eight-Twenty Eight
9.0,7.0,30.0,Fourteen-Thirty Five-Fourteen
13.0,0.0,40.0,DAP
14.0,15.0,12.0,Seventeen-Seventeen-Seventeen
36.0,0.0,0.0,Urea
24.0,0.0,22.0,Twenty Eight-Twenty Eight
14.0,0.0,41.0,DAP
10.0,13.0,14.0,Seventeen-Seventeen-Seventeen
38.0,0.0,0.0,Urea
21.0,0.0,19.0,Twenty Eight-Twenty Eight
39.0,0.0,0.0,Urea
13.0,0.0,36.0,DAP
10.0,0.0,9.0,Twenty-Twenty
12.0,14.0,12.0,Seventeen-Seventeen-Seventeen
11.0,0.0,37.0,DAP
36.0,0.0,0.0,Urea
13.0,0.0,10.0,Twenty-Twenty
23.0,0.0,20.0,Twenty Eight-Twenty Eight
9.0,9.0,29.0,Fourteen-Thirty Five-Fourteen
38.0,0.0,0.0,Urea
12.0,0.0,39.0,DAP
14.0,0.0,13.0,Twenty-Twenty
24.0,0.0,23.0,Twenty Eight-Twenty Eight
12.0,0.0,40.0,DAP
39.0,0.0,0.0,Urea
7.0,9.0,30.0,Fourteen-Thirty Five-Fourteen
23.0,0.0,19.0,Twenty Eight-Twenty Eight
41.0,0.0,0.0,Urea
8.0,10.0,31.0,Fourteen-Thirty Five-Fourteen
12.0,0.0,41.0,DAP
15.0,14.0,11.0,Seventeen-Seventeen-Seventeen
15.0,0.0,37.0,DAP
13.0,0.0,13.0,Twenty-Twenty
10.0,7.0,32.0,Fourteen-Thirty Five-Fourteen
22.0,0.0,24.0,Twenty Eight-Twenty Eight
35.0,0.0,0.0,Urea
10.0,0.0,35.0,DAP
8.0,8.0,28.0,Fourteen-Thirty Five-Fourteen
12.0,0.0,8.0,Twenty-Twenty
24.0,0.0,18.0,Twenty Eight-Twenty Eight
41.0,0.0,0.0,Urea
5.0,9.0,29.0,Fourteen-Thirty Five-Fourteen
23.0,0.0,21.0,Twenty Eight-Twenty Eight
13.0,0.0,14.0,Twenty-Twenty
40.0,0.0,0.0,Urea
12.0,0.0,42.0,DAP
11.0,12.0,15.0,Seventeen-Seventeen-Seventeen
23.0,0.0,24.0,Twenty Eight-Twenty Eight
38.0,0.0,0.0,Urea
8.0,0.0,15.0,Twenty-Twenty
11.0,13.0,15.0,Seventeen-Seventeen-Seventeen
15.0,0.0,37.0,DAP
36.0,0.0,0.0,Urea
13.0,0.0,9.0,Twenty-Twenty
24.0,0.0,20.0,Twenty Eight-Twenty Eight
5.0,18.0,15.0,Ten-Twenty Six-Twenty Six
37.0,0.0,0.0,Urea
15.0,0.0,40.0,DAP
9.0,0.0,13.0,Twenty-Twenty
8.0,8.0,33.0,Fourteen-Thirty Five-Fourteen
6.0,19.0,16.0,Ten-Twenty Six-Twenty Six
10.0,0.0,14.0,Twenty-Twenty
21.0,0.0,23.0,Twenty Eight-Twenty Eight
39.0,0.0,0.0,Urea
23.0,0.0,19.0,Twenty Eight-Twenty Eight
42.0,0.0,0.0,Urea
13.0,0.0,39.0,DAP
9.0,10.0,22.0,Fourteen-Thirty Five-Fourteen
22.0,0.0,21.0,Twenty Eight-Twenty Eight
10.0,0.0,15.0,Twenty-Twenty
7.0,16.0,20.0,Ten-Twenty Six-Twenty Six
14.0,0.0,38.0,DAP
10.0,8.0,29.0,Fourteen-Thirty Five-Fourteen
41.0,0.0,0.0,Urea
14.0,0.0,35.0,DAP
11.0,0.0,9.0,Twenty-Twenty
21.0,0.0,28.0,Twenty Eight-Twenty Eight
8.0,7.0,31.0,Fourteen-Thirty Five-Fourteen
13.0,17.0,16.0,Ten-Twenty Six-Twenty Six
35.0,0.0,0.0,Urea
12.0,18.0,19.0,Ten-Twenty Six-Twenty Six
11.0,0.0,38.0,DAP
8.0,9.0,30.0,Fourteen-Thirty Five-Fourteen
6.0,19.0,21.0,Ten-Twenty Six-Twenty Six
41.0,0.0,0.0,Urea
9.0,10.0,30.0,Fourteen-Thirty Five-Fourteen
24.0,0.0,19.0,Twenty Eight-Twenty Eight
4.0,17.0,17.0,Ten-Twenty Six-Twenty Six
39.0,0.0,0.0,Urea
15.0,0.0,41.0,DAP
12.0,0.0,10.0,Twenty-Twenty
